GWEvent,SC Spec,SC HS+SSD,SC HS+gwSSD,AbsE Spec,AbsE HS+SSD,AbsE HS+gwSSD
GW190521_030229,0.00048059947625501,0.0681235236520888,0.0666559801594047,0.0132906957798832,0.0016363369022749,0.00158162608203069
GW190521_074359,0.000654001898729327,0.0342273866295292,0.0331962585882041,0.0109780324063243,0.000491974363996732,0.000471562448941143
GW190527_092055,0.000230222098144976,0.0231541620910744,0.023153251586856,0.0134844928029493,0.00108647001727494,0.00108632608495508
GW190602_175927,0.000150114769117717,0.0152758431319766,0.0158013965878044,0.00451381737691863,0.000377497533069233,0.00039036461416851
GW190620_030421,0.000372033615655444,0.0203481106652914,0.0207491707920071,0.0121531284276665,0.000591966907898752,0.000602160078709624
GW190630_185205,0.000712066779449935,0.0539410874261126,0.0532056025351631,0.0221940467088956,0.00109994849206528,0.00116220243775411
GW190701_203306,0.000362197116967842,0.0270642010268614,0.0269913839639912,0.00836530156262615,0.000527972470284787,0.000523272001572308
GW190706_222641,0.000173660404425479,0.0152044259730702,0.0148877098610973,0.00270013759314858,0.000207364214414531,0.000216328183949831
GW190707_093326,6.26593572057734e-05,0.0160593209497072,0.0159484866279325,0.00137362652612243,0.000307704327554667,0.00030260609063313
GW190708_232457,0.000809838372498302,0.0413470885887432,0.0441059702656222,0.0128066207832252,0.000597721360251384,0.000666342395431727
GW190719_215514,0.000103590478121777,0.0154026830312697,0.0163662467632293,0.0150187109265386,0.00184101098076717,0.00200024460928161
GW190720_000836,0.000562361649363958,0.0409809304577364,0.0400847763419008,0.0111727148023255,0.000649038903126997,0.000646811903091129
GW190727_060333,0.000258104245997957,0.0182526352565049,0.018212618237408,0.056149747272802,0.00340083621996234,0.0034395514529094
GW190728_064510,0.000243064347260401,0.0195556837279269,0.0214232199383267,0.00418104118994033,0.000318489214524902,0.000369237255012581
GW190731_140936,0.000223958513278775,0.0217159590733345,0.0226062083340828,0.00847972002601637,0.000673475836109694,0.000704654742866402
GW190803_022701,0.000460649893012783,0.0282837591885037,0.0283212245715536,0.00491480170710093,0.000278407008844747,0.000279050762272554
GW190814,0.000609107636794556,0.0539914018907407,0.0539710133914215,0.0049041714428169,0.000382168103069539,0.000382171468944485
GW190828_063405,0.000267774610465658,0.0236583430789849,0.0247517647429148,0.0510987056782684,0.00413039084209782,0.00434444588432568
GW190828_065509,4.2980553062944e-05,0.0172470911008783,0.0173874606794796,0.0078332722336368,0.00289822489277988,0.00292301748470667
GW190909_114149,9.61479336751233e-05,0.0313159733410277,0.0313130626221137,0.010022577569221,0.00315777991631338,0.00311187535017171
GW190910_112807,0.000158294167174468,0.0148184418026647,0.0145165538369883,0.00256781047794178,0.000188822638466324,0.000203966744613951
GW190915_235702,0.000937594573578087,0.0616283294365143,0.0611830936357928,0.255373161951998,0.0130853455846065,0.0130264263629153
GW190924_021846,0.000587273059638942,0.0267908661309075,0.0264357254218866,0.00343417829265751,0.000128272335131617,0.000127913746719238
GW190929_012149,6.32608556281411e-05,0.0134251829703728,0.0137589000916611,0.000840818908488965,0.000149870890947096,0.000154139900440095
GW190930_133541,0.00016456983503196,0.0194309559867075,0.0193453768154467,0.00215420919526063,0.000239238741540745,0.000226302640754012
